rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect4b_rbd;nalu_mate4b_rbd;prom_lect4b_rbd;prom_mate4b_rbd;dif_lect4b_rbd;dif_mate4b_rbd;difgru_lect4b_rbd;difgru_mate4b_rbd;sigdif_lect4b_rbd;sigdif_mate4b_rbd;siggru_lect4b_rbd;siggru_mate4b_rbd;marca_lect4b_rbd;marca_mate4b_rbd;marcadif_lect4b_rbd;marcadif_mate4b_rbd;palu_eda_ins_lect4b_rbd;palu_eda_ele_lect4b_rbd;palu_eda_ade_lect4b_rbd;palu_eda_ins_mate4b_rbd;palu_eda_ele_mate4b_rbd;palu_eda_ade_mate4b_rbd;noaplica;fecha_bbdd;codigo_bbdd;grado;agno
9953;8;CENTRO EDUCACIONAL SAN ANDRES;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13119;MAIPÚ;134;Poniente;3;2;3;1;41;42;276;260;6;22;6;4;0;1;0;0;;;;;22.0;24.4;53.7;35.7;42.9;21.4;0;20240418;final20240418v1;4b;2023
12266;1;COLEGIO CIUDADELA MONTESSORI DE LAS CONDES;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13114;LAS CONDES;133;Oriente;4;3;5;1;9;9;264;222;-70;;-38;-70;-1;;-1;-1;;;;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
1360;9;ESCUELA BASICA SANTA MARGARITA;5;DE VALPARAÍSO;57;SAN FELIPE DE ACONCAGUA;5702;CATEMU;52;San Felipe - Los Andes;2;1;3;1;15;15;270;249;7;21;0;-7;0;1;0;0;;;;;26.7;26.7;46.7;40.0;40.0;20.0;0;20240418;final20240418v1;4b;2023
14885;7;COLEGIO LEONARDO DA VINCI;5;DE VALPARAÍSO;57;SAN FELIPE DE ACONCAGUA;5703;LLAILLAY;52;San Felipe - Los Andes;3;2;4;1;16;16;252;256;-41;-20;-30;-12;-1;-1;-1;-1;;;;;50.0;18.8;31.3;43.8;37.5;18.8;0;20240418;final20240418v1;4b;2023
1901;1;ESCUELA SANTIAGO BUERAS;5;DE VALPARAÍSO;58;MARGA MARGA;5801;QUILPUÉ;53;Valparaiso - Isla de Pascua;1;1;2;2;3;3;235;267;;;;;;;;;;;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
1987;9;COLEGIO NUEVO CHILENO BRITANICO;5;DE VALPARAÍSO;58;MARGA MARGA;5804;VILLA ALEMANA;53;Valparaiso - Isla de Pascua;3;2;2;1;26;26;235;210;24;0;-25;-37;1;0;-1;-1;;;;;57.7;19.2;23.1;76.9;19.2;3.8;0;20240418;final20240418v1;4b;2023
24623;9;COLEGIO JORGE ALESSANDRI RODRIGUEZ;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13128;RENCA;134;Poniente;3;2;2;1;170;172;291;278;19;8;31;31;1;0;1;1;;;;;11.8;34.7;53.5;22.1;40.7;37.2;0;20240418;final20240418v1;4b;2023
905;9;ESCUELA CHALINGA;4;DE COQUIMBO;43;LIMARÍ;4301;OVALLE;42;Limari;2;1;1;2;9;10;205;226;-15;14;-46;-11;0;0;-1;0;;;;;0.0;0.0;0.0;70.0;20.0;10.0;0;20240418;final20240418v1;4b;2023
25250;6;COLEGIO POLIV. ALMENDRAL DE LA PINTANA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13112;LA PINTANA;136;Cordillera;3;2;2;1;67;67;280;257;16;21;20;10;1;1;1;1;;;;;17.9;29.9;52.2;35.8;41.8;22.4;0;20240418;final20240418v1;4b;2023
2983;1;ESCUELA BASICA PUERTAS NEGRAS;7;DEL MAULE;71;TALCA;7101;TALCA;72;Talca;2;1;3;1;8;8;262;240;4;-16;-8;-16;0;0;0;-1;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
